2026-05-18 16:00:00 | INFO     | jobs.daily_pick:run_daily_pick:15 - 🔔 开始执行每日选股任务...
2026-05-18 16:00:00 | INFO     | services.picker_service:generate_signals:62 - 🔍 开始选股流水线...
2026-05-18 16:00:00 | INFO     | services.picker_service:generate_signals:65 - Step 1: 获取全量数据...
2026-05-18 16:00:00 | ERROR    | services.data_service:get_stock_list:34 - 获取股票列表失败: 'TTLCache' object has no attribute 'set'
2026-05-18 16:00:00 | INFO     | jobs.daily_pick:run_daily_pick:25 - 📊 选股完成: 0 个信号
2026-05-18 16:00:00 | WARNING  | jobs.daily_pick:run_daily_pick:32 - ⚠️ 今日无选股信号
2026-05-18 16:30:00 | INFO     | jobs.portfolio_check:run_portfolio_check:16 - 🔔 开始执行持仓检查任务...
2026-05-18 16:30:00 | INFO     | jobs.portfolio_check:run_portfolio_check:26 - 📭 当前无持仓
2026-05-18 21:00:00 | INFO     | jobs.daily_summary:run_daily_summary:15 - 🔔 开始生成每日复盘...
2026-05-18 21:00:00 | INFO     | jobs.daily_summary:run_daily_summary:23 - 📝 复盘生成完成，字数: 97
2026-05-18 21:00:00 | WARNING  | services.notifier:send_text:28 - 飞书Webhook未配置，跳过推送
2026-05-18 21:00:00 | INFO     | jobs.daily_summary:run_daily_summary:28 - ✅ 复盘已推送至飞书
2026-05-19 12:33:04 | INFO    | main:35 | 🚀 StockMind v2.0.0 starting ...
2026-05-19 12:33:04 | INFO    | main:36 |   数据目录: C:\Users\linwx\Desktop\fsdownload\stock-picker\data
2026-05-19 12:33:04 | INFO    | main:37 |   数据库: C:\Users\linwx\Desktop\fsdownload\stock-picker\data\stockmind.db
2026-05-19 12:33:04 | INFO    | utils.database:12 | 初始化数据库: C:\Users\linwx\Desktop\fsdownload\stock-picker\data\stockmind.db
2026-05-19 12:33:04 | INFO    | utils.database:80 | 数据库表初始化完成
2026-05-19 12:33:05 | INFO    | jobs.scheduler:24 | 定时任务已启动
2026-05-19 12:33:05 | INFO    | main:69 | ✅ StockMind 启动完成
2026-05-19 12:33:38 | INFO    | main:35 | 🚀 StockMind v2.0.0 starting ...
2026-05-19 12:33:38 | INFO    | main:36 |   数据目录: C:\Users\linwx\Desktop\fsdownload\stock-picker\data
2026-05-19 12:33:38 | INFO    | main:37 |   数据库: C:\Users\linwx\Desktop\fsdownload\stock-picker\data\stockmind.db
2026-05-19 12:33:38 | INFO    | utils.database:12 | 初始化数据库: C:\Users\linwx\Desktop\fsdownload\stock-picker\data\stockmind.db
2026-05-19 12:33:38 | INFO    | utils.database:80 | 数据库表初始化完成
2026-05-19 12:33:38 | INFO    | jobs.scheduler:24 | 定时任务已启动
2026-05-19 12:33:38 | INFO    | main:69 | ✅ StockMind 启动完成
2026-05-19 12:33:47 | WARNING | services.data_service:178 | K线失败(1/3) sh000300: 新浪返回空
2026-05-19 12:33:49 | WARNING | services.data_service:178 | K线失败(2/3) sh000300: 新浪返回空
2026-05-19 12:33:51 | WARNING | services.data_service:178 | K线失败(3/3) sh000300: 新浪返回空
2026-05-19 12:33:51 | WARNING | services.data_service:334 | 市场状态获取失败: 沪深300数据不足
